Description,Category (Category) (Category),Intent
"Add a yes/no question in the RFA form that customers fill out asking if they have gone through the Advanced Deployment Guide for whatever workload they are submitting for assistance on. If they select no; provide the link to the ADG and more information on what the ADGs are and what they do. This will help FMs / internal resources working on current RFA IPE customers to better understand if the customer has already utilized the advanced deployment guides and better strategize a more optimal approach to assist customers. Currently; we have some customers that have never heard of IPE/ADGs and some that have already gone through the guides but need more hands-on assistance. In cases where the customer has already gone through the ADGs; we currently don't provide an optimal customer experience because we are showing the customer a tool they have already went through and are aware of; espeically given the fact that inside each of the ADGs; there is a note saying the following below; "" 
‎FastTrack‎ assistance 
If you can't complete your deployment using this guide; the ability to exit the guide and engage with a ‎Microsoft 365‎ ‎FastTrack‎ specialist is offered in a message bar at the top of every instructional page. ‎FastTrack‎ assistance is available to organizations that meet specific eligibility requirements."" 
CDO review",Communications,CDO - Learn
"In the updated ADG for Intune, there is a learning path that customers can select called 'Intune and Teams'. The description of this learning path says ""‎Teams‎ for ‎iOS‎ and ‎Android‎ supports app settings that allow unified endpoint management, like ‎Microsoft Endpoint Manager‎, administrators to customize the behavior of the app."" But when you click that path, the resulting guidance is all focused on enrollment Teams Rooms on Windows and mentions bulk enrollment using provisioning packages on a USB stick. There is no reference or guidance about enrolling or the settings available for Teams on iOS and Android. This is misleading and should be updated to include specific guidance for iOS and Android. My customer was hopeful to use this guide to manage Teams on Android. 
CDO reviewed
",Communications,CDO - Learn
"The current FT Description (FastTrack Center Benefit for Microsoft 365​ - FastTrack – Microsoft 365 | Microsoft Learn) mentions that: 
FastTrack offers assistance in the following languages: Traditional Chinese and Simplified Chinese (resources speak Mandarin only), English, French, German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish, Thai, and Vietnamese.
However, we cover other languages as well with the help of our FastTrack ready Partners. Considering we target 90/95% of RFAs to be assigned to FRPs, we should also mention other languages based on the countries where we have FRPs. Countries should be mentioned also. 
CDO reviewed",Documentation,CDO - Learn
"It will be valuable to have the new FastTrack EDM/Pilot program description, structure, benefits, deployment phases and workloads one-pagers included in the customer facing FastTrack for M365 Benefit description customer deck and Field landing deck. 
FastTrack for M365 Benefit description -https://microsoft.seismic.com/Link/Content/DCB6pb76V9HX6GMRGVBgd39DTmVG 
FastTrack for M365 Field Landing deck 
https://microsoft.seismic.com/Link/Content/DCB4W6GP6b4MqGWXq4DhFXBB6TbG
CDO reviewed",Playbook & Process,CDO - Learn
"Two part feedback relating to the revised FT Benefit service description: FastTrack Center Benefit for Microsoft 365​ - FastTrack – Microsoft 365 | Microsoft Learn. 
CDO reviewed
	Teams is under the Office 365 section which de-emphasis it and makes it harder to find. Teams should be broken out into its own section.
		Office 365 is an outdated term. Shouldn't the title be 'Microsoft 365'?",Documentation,CDO - Learn
"As the GA of each Copilot approaches, we have already received inquiries from many customers. In particular, Copilot in Windows has received inquiries in conjunction with the deployment of Windows 11, and it is expected that inquiries will increase more and more in the future. 
In such a situation, the scope of FastTrack is not yet clear, so please clarify the scope of FastTrack for the deployment of these features. Also, if it falls into the scope of support, please clarify the scope of responsibility for each role. 
CDO reviewed",Playbook & Process,CDO - Learn
"Feedback sourced from VOC Customer Phone Survey ID: 601008.  Proactively provide documentation requested by decision makers in projects that will impact the go/no-go decision of deployment of the Microsoft product in the  Company Name&gt; landscape even when all technical aspects have been addressed.
CDO reviewed     ",Field / FastTrack Integration,"CDO - Prepare,CES VOC FY24"
"Feedback sourced from VOC Customer Phone Survey ID: 601007    Help us strengthen the arguments to defend the continuity in the use of this software, based on the returns of investment and the permanent support of Microsoft in the use and exploitation of the product, to have greater benefit. [Translated from Spanish]    CDO reviewed     ",Field / FastTrack Integration,CDO - Learn
"Feedback sourced from VOC Customer Phone Survey ID: 601004    These sessions were very productive. It would be very interesting to be able to transfer knowledge of specific products to the technical area so that they can better support users in the use of the different tools in the cloud and exploit them to their full potential or be able to extend this benefit to users, to enrich their knowledge and provide solid bases to improve the use of the tools and lose the fear of change. [Translated from Spanish] CDO reviewed     ",Field / FastTrack Integration,CDO - Learn
Feedback sourced from VOC Customer Phone Survey ID: 402022    FastTrack was able to help us understand the requirements needed and the technical steps to reach our goal.   CDO reviewed          ,Field / FastTrack Integration,"CDO - Prepare,CES VOC FY24"
"FastTrack Copilot solution PlayBook is required for Optimised workloads with co-relation and deeper insights on impact to copilot functions and search results. It should cover below items on MIP, DLP, DLM, Access Reviews and SyntexSharePoint site access which is not part of FT scope should be included as well for completeness. 
1. Information Protection Labelling - Learn about sensitivity labels - Microsoft Purview (compliance) | Microsoft Learn 
2. Content Migration/ Data Migration for Semantic Indexing - Semantic Index for Copilot: Explained by Microsoft 
3.SharePoint Site Restrictions Configured - Restrict SharePoint site access - SharePoint in Microsoft 365 | Microsoft Learn 
4. Access Reviews - Review your access to groups &amp; apps in access reviews - Microsoft Entra | Microsoft Learn 
5. Data Loss Prevention - Learn about data loss prevention - Microsoft Purview (compliance) | Microsoft Learn 
6. Retention Policies - Learn about retention policies &amp; labels to retain or delete - Microsoft Purview (compliance) | Microsoft Learn 
CDO reviewed 
",Documentation,CDO - Prepare
"Oversharing is very sensitive topic for our customers and the proposed ideas below will be really useful for any customers having oversharing concerns to understand what the impact would be when enabling Copilot and will be able to make informed decision on their path forward. 
The provided explanation about oversharing with links is a bit misleading. It can be found under question 154 in https://aka.ms/m365copilotfaq. The question and the answers are: 
My customer is concerned about oversharing through links. When I create a link for Everyone does that mean the file will show up in search for everyone? 
When you create a file sharing link for everyone it does not mean that the file will show up in search or Copilot responses for everyone. They would need to click on the link for them to be registered as a user with access to that file. When the link is deleted that user will no longer have access to the file and it will not show up in their search or Copilot results. 
The above answer is a bit misleading since there is no Everyone group or link option in SharePoint Online, there is Anyone link option available. 
The above text does not cover other type of sharing link like ""People in  your organization&gt;"" which might mislead people to think the guidance above applies to these type of link as well. That would be wrong assumption since when you share with People in your organization Copilot will index documents shared via these links and will return them in Copilot queries. I have tested this with my Copilot Preview access and that was my experience. I have not clicked any links to have them registered - files that I was not aware of were returned in my Copilot queries. 
As well as highlighting in the document that any SPO sites (including Teams teams) for which users have no idea that they have access to via a Group, nested group or direct access will be returned in Copilot queries. 
CDO reviewed",Documentation,CDO - Prepare
"I have to scavenge within my emails to find if my SME requests have been fulfilled.
CDO reviewed",Tool - FTOP,CDO - Configure
"In FY24 we have the same problem in achieving our Purview OKR goals as we did in FY23 a large number of customers are completely adopted for MIP P2 but have no intent for IRM. Also, just as FY23 this fiscal year there is no partner in the ATU, STU or CSU who is goaled on adoption for Purview outside of the pay-for-support CSA role which is not possible/acceptable for many of our customers. Last fiscal year, in partnership between the OKR Champ team and our Americas SME team, an engagement approach was put together which started a pre-intent discussion led by an assigned Fasttrack SME and evolved into our standard deployment project approach. In the new evolved delivery model, there is not a set of tasks for the pre-intent portion of work and therefore leaves us without a way to address the initial discussions with our customers. During FY23, we ran this pre intent for IRM ""play"" dozens of times and saw a nearly perfect result with our customers moving quickly from no intent to 20% usage for IRM. 
CDO reviewed",Playbook & Process,CDO - Learn
"Migration SMEs daily activities inlcude connecting through RDG to the migration infrastructure several times a day and to multiple machines. Currently (in the new Torus environment) the timeout for the RDG session is around 5 minutes. Having this causes the connection to be closed sooner and more frequently, forcing the SME to pause and reestrablish connectivty taking an average of 5 minutes per machine. 
 
Potential solution: Increasing timeout to 10 minutes will give Migration SME's more bandwidth to better perform their activities.
CDO reviewed 
",Migration,CDO - Configure
" If you navigate to https://setup.microsoft.com one of the tiles on the homepage lists ""Microsoft Azure"". This might be very confusing for customers as the guides listed here are part of Microsoft Entra ID.      CDO reviewed     ",Communications,CDO - Learn
"Provide a one-pager that can be shared with customers about the FastTrack benefit and approach with regards to their Viva deployment. 
CDO reviewed",Playbook & Process,CDO - Learn
"We would like to share some feedback about the slide that explains the FT Reporting (existing in all migration workshop desk) - see also attached image. 
We consider that this slide should be split in 2 slides (we consider that this slide is all cluttered). We consider that migration portal project information should be a on a separate slide from the Reporting so that there is less confusion and the images can be bigger and easier to read. 
 CDO reviewed 
",Migration,CDO - Configure
"Feedback sourced from VOC Customer Phone Survey ID:402005
FastTrack could provide a list of partners for all countries to reduce friction of having to source and get agreements in place.
CDO reviewed",FastTrack Partner,CDO - Learn
"Feedback sourced from VOC Customer Phone Survey ID:402005
FastTrack could provide a list of partners for all countries to reduce friction of having to source and get agreements in place.
CDO reviewed",Communications,CDO - Learn
"Several customers and FTAs ask for a one pager Viva Suite, what can FastTrack offer to support. As we saw many sales motions in FY23 now several customers purchased the suite without intent. To drive them forward and initiate at least pilots to meet the 100 MAU OKR a one pager as conversation starter would be extremly helpful. 
CDO reviewed",Playbook & Process,CDO - Learn
"In Microsoft 365 Copilot EAP Fasttrack.pptx, M365 Fasttrack is supposed to provideOptimized approach, which is decribed as Highly recommended and focused on data compliance, preventing over-sharing and potential internal data leakage. 
Microsoft 365 Copilot EAP FastTrack.pptx 
To deliver this approach and provide secured and safe use for M365 Colilot, there is a lack of deck and training especially for FTA and FM, derivering the session for the customer. Because there is only one slide to explain Optimized and furthermoew, the slide provides just a link for learn.microsoft.com. 
To provide high-quality and structured sessions to our customers, training for the delivery team and materials for customer explanations are necessary 
CDO reviewed",Learn,CDO - Prepare
"Problem: The customer has mentioned 3 items that Crowdstrike is offering them in their POC that we aren't:
1)Perform POCs in production environment
2) They do POC's in 3 days. They are flexible in their scheduling and also customize the days based on user customizations
3) They have a list of modules and use cases that they can individually test with customers.They have success criteria packages that align with the outcomes a customer's needs. They take things like MITRE top 10 ransomeware or anything else by request to detonate for their customers in the production POC to ensure it can defend.
Impact: This is losing POC customers and currently the ATU is doing their best to match this.
Solution: Create 2 options of POC one in a provided lab, one can be done in production
CDO reviewed",Proof of Concept (PoC),CDO - Learn
"While working on POCaaS engagements, customers generally compares MDE feaatuers with compete products .e.g Crowdstrike, Tanalbe etc. 
 
A document with summary of Key features, unique capabilities where MDE is stronger than compete products will help SMEs to highlight those features and showcase benefits of our security products. 
 
This is applicable for all security workloads (MDO, MDE, MDA, MDI) 
 
We have an internal compete resource, however it is lengthy, it will be easier if we can have Key features summarised in a document. 
 
Microsoft Defender for Endpoint - CSCompeteNinja (sharepoint.com)

CDO reviewed",Proof of Concept (PoC),CDO - Learn
"What idea are you suggesting? There was a recent Grow session on MDE deployment with AV in passive mode, and how to have teh cusomer conversation if the cusotmer can not move off a 3rd party solution. We are hearing requests from FTA's and other that they would like content that can be used with customers, as this is a topic that regualrly comes up. 


How would you implement this? Create a one pager from the existing grow session presentation that can be used by delivery resoruces. 


What measurable impact would this idea have? (hours per week or month) This will help customers see the value in our product if they are not able to get off of a 3rd party solution like crowdstrike, and may open the door for solution in the future. 

 

CDO reviewed 
",Playbook & Process,CDO - Prepare
